id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
9577772,突尼斯,2021-11-20 10:43:33,86.0,,61.0,4.0,,,,716074,0,689834,25334,0,0.0
9507896,塞尔维亚,2021-11-20 10:53:36,3086.0,,5841.0,53.0,,,,1228328,0,1137583,11115,0,0.0
0,中国,2021-11-20 14:25:28,38.0,,73.0,0.0,,-35.0,20.0,127443,0,118581,5697,0,9984.0
1,日本本土,2021-11-20 10:23:32,163.0,,191.0,6.0,,,,1726063,0,1706303,18342,0,0.0
2,泰国,2021-11-20 10:23:32,6855.0,,7655.0,51.0,,,,2050980,0,1940854,20303,0,0.0
3,新加坡,2021-11-20 10:43:33,1734.0,,2874.0,16.0,,,,248587,0,227556,641,0,0.0
4,韩国,2021-11-20 10:23:32,3034.0,,1145.0,28.0,,,,409099,0,368723,3215,0,0.0
5,澳大利亚,2021-11-20 13:23:34,1499.0,,1523.0,11.0,,,,195618,0,176805,1933,0,0.0
6,德国,2021-11-20 10:43:32,59266.0,,24000.0,230.0,,,,5293087,0,4588200,99399,0,0.0
7,美国,2021-11-20 10:43:33,111829.0,,83736.0,1332.0,,,,48521596,0,38413809,791098,0,0.0
8,马来西亚,2021-11-20 10:23:32,6355.0,,5031.0,45.0,,,,2575888,0,2477314,29937,0,0.0
9,越南,2021-11-20 10:23:32,9625.0,,1971.0,102.0,,,,1075094,0,883564,23578,0,0.0
89566,圣巴泰勒米,2020-06-12 17:03:12,,,,,,,,6,0,6,0,0,
821,肯尼亚,2021-11-20 10:23:32,88.0,,57.0,0.0,,,,254629,0,247874,5325,0,0.0
826,伊朗,2021-11-20 10:43:33,5784.0,,12891.0,100.0,,,,6069559,0,5759378,128734,0,0.0
827,以色列,2021-11-20 10:23:32,306.0,,107.0,0.0,,,,1339723,0,1325983,8154,0,0.0
828,毛利亚尼亚,2020-06-09 19:59:04,,,,,,,,16,0,6,2,0,
829,黎巴嫩,2021-11-20 10:23:32,1175.0,,0.0,9.0,,,,657367,0,626053,8625,0,0.0
833,克罗地亚,2021-11-20 10:43:33,2234.0,,6230.0,65.0,,,,560504,0,515353,10178,0,0.0
834,奥地利,2021-11-20 10:23:32,15809.0,,8881.0,48.0,,,,1027274,0,876482,11951,0,0.0
835,瑞士,2021-11-20 10:23:32,6169.0,,1293.0,10.0,,,,941216,0,848933,11393,0,0.0
839,希腊,2021-11-20 10:43:33,7751.0,,4220.0,93.0,,,,868868,0,767829,17168,0,0.0
95800,毛里求斯,2021-11-20 00:03:21,0.0,,0.0,0.0,,,,18979,0,1854,240,0,0.0
845,爱沙尼亚,2021-11-20 10:23:32,715.0,,1365.0,9.0,,,,216081,0,189727,1723,0,0.0
846,北马其顿,2021-11-20 10:43:33,444.0,,467.0,16.0,,,,211382,0,195624,7406,0,0.0
850,白俄罗斯,2021-11-20 10:23:32,1812.0,,2493.0,15.0,,,,636543,0,619485,4916,0,0.0
851,立陶宛,2021-11-20 10:43:32,1707.0,,2419.0,17.0,,,,452268,0,413716,6461,0,0.0
852,阿塞拜疆,2021-11-20 10:23:32,2233.0,,2401.0,28.0,,,,570322,0,533175,7579,0,0.0
