id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
420000,湖北,2021-12-18 11:20:59,0,,2,0,,-2,68316,0,63801,4512,0,0,,,
700000,台湾,2021-12-18 14:21:00,28,,0,0,,28,16799,0,13742,849,0,0,,,
810000,香港,2021-12-18 09:50:58,7,,0,0,,7,12513,0,12180,213,0,0,,,
440000,广东,2021-12-18 09:10:57,7,,2,0,,5,3366,0,3291,8,0,0,,,
310000,上海,2021-12-18 09:10:56,13,,4,0,,9,2945,0,2849,7,0,0,,,
230000,黑龙江,2021-12-18 10:45:58,0,,1,0,,-1,2035,0,1991,13,0,0,,,
330000,浙江,2021-12-18 09:20:56,77,,0,0,,77,1944,0,1486,1,0,0,,,
530000,云南,2021-12-18 09:10:57,1,,2,0,,-1,1780,0,1666,2,0,0,,,
410000,河南,2021-12-18 09:10:57,0,,0,0,,0,1638,0,1578,22,0,0,,,
320000,江苏,2021-12-18 00:00:44,0,,0,0,,0,1621,0,1618,0,0,0,,,
130000,河北,2021-12-18 00:00:43,0,,0,0,,0,1458,0,1446,7,0,0,,,
350000,福建,2021-12-18 09:45:56,2,,0,0,,2,1338,0,1315,1,0,0,,,
510000,四川,2021-12-18 09:10:57,0,,0,0,,0,1299,0,1265,3,0,0,,,
430000,湖南,2021-12-18 09:45:57,2,,0,0,,2,1202,0,1195,4,0,0,,,
110000,北京,2021-12-18 08:15:53,1,,0,0,,1,1200,0,1179,9,0,0,606.0,0.0,594.0
150000,内蒙古,2021-12-18 10:45:59,1,,18,0,,-17,1178,0,701,1,0,0,,,
370000,山东,2021-12-18 09:10:57,1,,1,0,,0,1037,0,1000,7,0,0,,,
340000,安徽,2021-12-18 00:00:43,0,,0,0,,0,1009,0,1002,6,0,0,,,
650000,新疆,2021-12-18 00:00:44,0,,0,0,,0,981,0,978,3,0,0,,,
360000,江西,2021-12-18 00:00:43,0,,0,0,,0,959,0,958,1,0,0,,,
210000,辽宁,2021-12-18 15:01:03,0,,1,0,,-1,788,0,760,2,0,0,,,
610000,陕西,2021-12-18 13:36:01,9,,0,0,,7,745,0,705,3,0,0,,,
500000,重庆,2021-12-18 00:00:44,0,,0,0,,0,610,0,602,6,0,0,,,
220000,吉林,2021-12-18 09:45:56,1,,0,0,,1,588,0,577,3,0,0,,,
120000,天津,2021-12-18 09:10:57,0,,0,0,,2,539,0,520,3,0,0,,,
450000,广西,2021-12-18 09:10:57,10,,1,0,,9,516,0,325,2,0,0,,,
620000,甘肃,2021-12-18 00:00:44,0,,0,0,,0,344,0,342,2,0,0,,,
140000,山西,2021-12-18 09:10:57,0,,2,0,,-2,265,0,265,0,0,0,,,
460000,海南,2021-12-18 00:00:43,0,,0,0,,0,190,0,184,6,0,0,,,
520000,贵州,2021-12-18 00:00:44,0,,0,0,,0,159,0,157,2,0,0,,,
640000,宁夏,2021-12-18 00:00:43,0,,0,0,,0,122,0,122,0,0,0,,,
820000,澳门,2021-12-18 00:00:43,0,,0,0,,0,77,0,77,0,0,0,,,
630000,青海,2021-12-18 00:00:43,0,,0,0,,0,30,0,30,0,0,0,,,
540000,西藏,2021-12-18 00:00:43,0,,0,0,,0,1,0,1,0,0,0,,,
