id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
420000,湖北,2021-11-19 10:04:58,0,,1,0,,-1,68311,0,63794,4512,0,0,,,
700000,台湾,2021-11-19 14:25:08,13,,0,0,,13,16516,0,13742,848,0,0,,,
810000,香港,2021-11-19 17:05:08,5,,5,0,,0,12396,0,12104,213,0,0,,,
440000,广东,2021-11-19 10:04:58,3,,0,0,,3,3267,0,3224,8,0,0,,,
310000,上海,2021-11-19 08:54:58,7,,5,0,,2,2808,0,2735,7,0,0,,,
230000,黑龙江,2021-11-19 08:54:58,0,,3,0,,-3,1992,0,1789,13,0,0,,,
530000,云南,2021-11-19 08:54:59,1,,3,0,,-2,1653,0,1549,2,0,0,,,
410000,河南,2021-11-19 10:04:57,1,,0,0,,1,1634,0,1531,22,0,0,,,
320000,江苏,2021-11-19 08:54:59,0,,0,0,,0,1617,0,1600,0,0,0,,,
330000,浙江,2021-11-19 08:54:59,0,,0,0,,0,1500,0,1465,1,0,0,,,
130000,河北,2021-11-19 08:54:59,0,,12,0,,-12,1453,0,1364,7,0,0,,,
350000,福建,2021-11-19 12:20:02,0,,3,0,,-3,1318,0,1298,1,0,0,,,
510000,四川,2021-11-19 08:54:59,1,,2,0,,-1,1263,0,1219,3,0,0,,,
430000,湖南,2021-11-19 08:54:59,0,,0,0,,0,1197,0,1191,4,0,0,,,
110000,北京,2021-11-19 08:54:59,0,,0,0,,0,1190,0,1149,9,0,0,596.0,0.0,564.0
340000,安徽,2021-11-19 08:54:59,0,,0,0,,0,1008,0,1002,6,0,0,,,
370000,山东,2021-11-19 08:54:59,2,,0,0,,2,1000,0,962,7,0,0,,,
650000,新疆,2021-11-19 08:54:59,0,,0,0,,0,981,0,978,3,0,0,,,
360000,江西,2021-11-19 10:15:00,0,,2,0,,-2,959,0,952,1,0,0,,,
210000,辽宁,2021-11-19 12:20:02,8,,4,0,,4,760,0,467,2,0,0,,,
610000,陕西,2021-11-19 10:04:58,0,,3,0,,-3,703,0,689,3,0,0,,,
150000,内蒙古,2021-11-19 08:54:59,0,,0,0,,0,618,0,609,1,0,0,,,
500000,重庆,2021-11-19 08:54:59,0,,0,0,,0,610,0,598,6,0,0,,,
220000,吉林,2021-11-19 16:00:02,1,,0,0,,1,582,0,572,3,0,0,,,
120000,天津,2021-11-19 10:04:57,0,,1,0,,-1,527,0,500,3,0,0,,,
450000,广西,2021-11-19 10:04:58,1,,2,0,,-1,367,0,314,2,0,0,,,
620000,甘肃,2021-11-19 11:44:58,0,,10,0,,-10,344,0,294,2,0,0,,,
140000,山西,2021-11-19 08:54:59,0,,0,0,,0,264,0,260,0,0,0,,,
460000,海南,2021-11-19 08:54:59,0,,0,0,,0,190,0,184,6,0,0,,,
520000,贵州,2021-11-19 08:54:59,0,,0,0,,0,159,0,155,2,0,0,,,
640000,宁夏,2021-11-19 10:04:58,0,,2,0,,-2,122,0,107,0,0,0,,,
820000,澳门,2021-11-19 08:54:58,0,,0,0,,0,77,0,77,0,0,0,,,
630000,青海,2021-11-19 08:54:58,0,,0,0,,0,30,0,20,0,0,0,,,
540000,西藏,2021-11-19 08:54:58,0,,0,0,,0,1,0,1,0,0,0,,,
