id,name,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
420000,湖北,2021-11-18 09:09:32,0,,0,0,,0,68311,0,63793,4512,0,0,,,
700000,台湾,2021-11-18 14:34:36,8,,0,0,,8,16506,0,13742,848,0,0,,,
810000,香港,2021-11-18 17:49:38,7,,0,0,,7,12395,0,12099,213,0,0,,,
440000,广东,2021-11-18 09:09:32,4,,3,0,,1,3264,0,3224,8,0,0,,,
310000,上海,2021-11-18 09:09:31,6,,4,0,,2,2801,0,2730,7,0,0,,,
230000,黑龙江,2021-11-18 09:09:31,0,,14,0,,-14,1992,0,1786,13,0,0,,,
530000,云南,2021-11-18 09:09:32,2,,6,0,,-4,1652,0,1546,2,0,0,,,
410000,河南,2021-11-18 09:09:31,1,,0,0,,1,1633,0,1531,22,0,0,,,
320000,江苏,2021-11-18 09:24:29,0,,1,0,,-1,1617,0,1600,0,0,0,,,
330000,浙江,2021-11-18 09:09:32,0,,0,0,,0,1500,0,1465,1,0,0,,,
130000,河北,2021-11-18 09:09:31,0,,4,0,,-4,1453,0,1352,7,0,0,,,
350000,福建,2021-11-18 09:09:32,0,,0,0,,0,1318,0,1295,1,0,0,,,
510000,四川,2021-11-18 09:09:32,2,,0,0,,2,1262,0,1217,3,0,0,,,
430000,湖南,2021-11-18 09:09:32,0,,0,0,,0,1197,0,1191,4,0,0,,,
110000,北京,2021-11-18 09:09:32,3,,3,0,,0,1190,0,1149,9,0,0,596.0,0.0,564.0
340000,安徽,2021-11-18 09:09:32,0,,0,0,,0,1008,0,1002,6,0,0,,,
370000,山东,2021-11-18 09:09:32,0,,0,0,,0,998,0,962,7,0,0,,,
650000,新疆,2021-11-18 09:09:32,0,,0,0,,0,981,0,978,3,0,0,,,
360000,江西,2021-11-18 11:19:35,0,,1,0,,-1,959,0,950,1,0,0,,,
210000,辽宁,2021-11-18 09:09:32,5,,0,0,,5,752,0,463,2,0,0,,,
610000,陕西,2021-11-18 09:09:32,0,,1,0,,-1,703,0,686,3,0,0,,,
150000,内蒙古,2021-11-18 11:19:36,0,,5,0,,-5,618,0,609,1,0,0,,,
500000,重庆,2021-11-18 09:09:32,0,,0,0,,0,610,0,598,6,0,0,,,
220000,吉林,2021-11-18 09:09:31,0,,0,0,,0,581,0,572,3,0,0,,,
120000,天津,2021-11-18 09:09:31,8,,0,0,,8,527,0,499,3,0,0,,,
450000,广西,2021-11-18 09:09:32,4,,0,0,,4,366,0,312,2,0,0,,,
620000,甘肃,2021-11-18 11:19:35,0,,13,0,,-13,344,0,284,2,0,0,,,
140000,山西,2021-11-18 09:09:32,0,,0,0,,0,264,0,260,0,0,0,,,
460000,海南,2021-11-18 09:09:31,0,,0,0,,0,190,0,184,6,0,0,,,
520000,贵州,2021-11-18 09:09:32,0,,0,0,,0,159,0,155,2,0,0,,,
640000,宁夏,2021-11-18 09:09:32,0,,1,0,,-1,122,0,105,0,0,0,,,
820000,澳门,2021-11-18 09:24:29,0,,1,0,,-1,77,0,77,0,0,0,,,
630000,青海,2021-11-18 09:09:31,0,,1,0,,-1,30,0,20,0,0,0,,,
540000,西藏,2021-11-18 09:09:31,0,,0,0,,0,1,0,1,0,0,0,,,
